Year,Qtr,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,LNPLEDGE,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
2013,1231,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41639,44433,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",159418,1791,161209,512,161721,121481,121481,864,76124,11863,64261,16489,28004,0,,0,6680,,33560,0,1554,0,32006,0,0,0,0,0,0,0,21679,,0,0,0,864,1791,
2013,1231,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41639,44433,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,4,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,3188673,23998,3212671,0,3212671,2122005,2122005,69604,694515,222557,471958,1065091,286296,6499,,2629,234157,0,101001,0,52,0,100949,752879,131,1880,750865,0,3,4238,1688900,0,3378,355,22923,46681,23998,
2014,331,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41729,44433,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",178034,1942,179976,591,180567,133473,133473,877,80669,11536,69133,20181,31746,0,,0,9299,,37795,0,1554,0,36241,0,0,0,0,0,0,0,26810,,0,0,0,877,1942,
2014,331,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41729,44433,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,4,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,4027375,26704,4054079,0,4054079,3012372,3012372,66736,796570,224487,572083,1586545,556120,6401,,2409,234630,0,98631,0,48,0,98583,706037,131,1880,704023,0,3,2620,2286100,0,3794,428,21738,44998,26704,
2014,331,29047,2825,950178,,FIRST FEDERAL BANK OF KANSAS CITY,Kansas City,MO,64120,41729,44433,SA,6900 N. Executive Dr.,,7,0,0,5,0,Jackson,28140,"Kansas City, MO-KS",12601,12767,41667,Non-Stock,0,0,OCC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,www.ffbkc.com,261421,1084,262505,0,262505,262285,262285,20196,0,0,0,0,242089,0,,0,0,0,220,0,0,47,173,0,0,0,0,0,0,0,194043,0,0,0,19633,563,1111,
2014,630,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41820,44433,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",193852,1992,195844,643,196487,137718,137718,877,82093,9964,72129,20191,34557,0,,0,9771,,48998,16,1746,0,47236,0,0,0,0,0,0,0,31266,,16,16,0,877,1992,
2014,630,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41820,44433,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,4,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,0,http://www.customersbank.com,4677313,28186,4705499,0,4705499,3249549,3249549,78295,884152,230073,654079,1840644,440260,6198,,724,275689,0,95695,0,51,0,95644,1083842,88,1880,1081872,0,2,2579,2881962,0,3847,349,20615,57680,28186,
2014,630,29047,2825,950178,,FIRST FEDERAL BANK OF KANSAS CITY,Kansas City,MO,64120,41820,44433,SA,6900 N. Executive Dr.,,7,0,0,5,0,Jackson,28140,"Kansas City, MO-KS",12601,12767,41667,Non-Stock,0,0,OCC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,www.ffbkc.com,277927,1054,278981,0,278981,278713,278713,21737,0,0,0,0,256976,0,,0,0,0,268,0,0,36,232,0,0,0,0,0,0,0,202705,0,0,0,21270,467,1080,
2014,930,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41912,44433,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",215760,2187,217947,667,218614,136235,136235,876,86250,12575,73675,17508,31601,0,,0,11343,,71036,19,1682,0,69335,0,0,0,0,0,0,0,71276,,19,19,0,876,2187,
2014,930,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41912,44433,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,4,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,0,http://www.customersbank.com,5474772,31083,5505855,0,5505855,3743068,3743068,78845,1001425,216861,784564,2208043,450378,4377,,436,380209,0,92812,0,52,0,92760,1289330,88,5719,1283523,0,0,48,3013991,0,3877,338,15218,63627,31083,
2014,930,29047,2825,950178,,FIRST FEDERAL BANK OF KANSAS CITY,Kansas City,MO,64120,41912,44433,SA,6900 N. Executive Dr.,,7,0,0,5,0,Jackson,28140,"Kansas City, MO-KS",12601,12767,41667,Non-Stock,0,0,OCC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,www.ffbkc.com,304614,1175,305789,0,305789,305415,305415,21379,0,0,0,0,284036,0,,0,0,0,374,0,0,86,288,0,0,0,0,0,0,0,237424,0,0,0,20920,459,1212,
